Player,Team,2p%,3p%,ft%,min%
Luka Dončić,DAL,0.573,0.382,0.786,0.667
Shai Gilgeous-Alexander,OKC,0.575,0.353,0.874,0.649
Giannis Antetokounmpo,MIL,0.645,0.274,0.657,0.652
Jalen Brunson,NYK,0.516,0.401,0.847,0.693
Nikola Jokić,DEN,0.627,0.359,0.817,0.695
Anthony Edwards,MIN,0.515,0.357,0.836,0.704
Kevin Durant,PHX,0.567,0.413,0.856,0.709
Jayson Tatum,BOS,0.542,0.376,0.833,0.672
De'Aaron Fox,SAC,0.522,0.369,0.738,0.676
Stephen Curry,GSW,0.515,0.408,0.923,0.615
DeMar DeRozan,CHI,0.509,0.333,0.853,0.759
Anthony Davis,LAL,0.582,0.271,0.816,0.686
Devin Booker,PHX,0.552,0.364,0.886,0.622
LeBron James,LAL,0.592,0.41,0.75,0.636
Tyrese Maxey,PHI,0.502,0.373,0.868,0.667
Paolo Banchero,ORL,0.494,0.339,0.725,0.711
Damian Lillard,MIL,0.49,0.354,0.92,0.655
Dejounte Murray,ATL,0.518,0.363,0.794,0.707
Pascal Siakam,IND,0.582,0.346,0.732,0.675
Paul George,LAC,0.524,0.413,0.907,0.636
Kawhi Leonard,LAC,0.569,0.417,0.885,0.592
Jalen Green,HOU,0.499,0.332,0.804,0.661
Jaylen Brown,BOS,0.569,0.354,0.703,0.595
Mikal Bridges,BKN,0.49,0.372,0.814,0.725
Zion Williamson,NOP,0.574,0.333,0.702,0.561
Domantas Sabonis,SAC,0.613,0.379,0.704,0.744
Kyle Kuzma,WAS,0.529,0.336,0.775,0.58
Victor Wembanyama,SAS,0.535,0.325,0.796,0.535
Coby White,CHI,0.507,0.376,0.838,0.732
Kyrie Irving,DAL,0.548,0.411,0.905,0.516
Jaren Jackson Jr.,MEM,0.501,0.32,0.808,0.54
Cam Thomas,BKN,0.481,0.364,0.856,0.527
Donovan Mitchell,CLE,0.54,0.368,0.865,0.494
Collin Sexton,UTA,0.529,0.394,0.859,0.527
Miles Bridges,CHA,0.529,0.349,0.825,0.656
Franz Wagner,ORL,0.57,0.281,0.85,0.594
Cade Cunningham,DET,0.487,0.355,0.869,0.527
Trae Young,ATL,0.48,0.373,0.855,0.493
Tyrese Haliburton,IND,0.595,0.364,0.855,0.565
Klay Thompson,GSW,0.503,0.387,0.927,0.58
Nikola Vučević,CHI,0.55,0.294,0.822,0.663
D'Angelo Russell,LAL,0.498,0.415,0.828,0.631
Bam Adebayo,MIA,0.528,0.357,0.755,0.614
Chet Holmgren,OKC,0.622,0.37,0.793,0.613
Jordan Poole,WAS,0.492,0.326,0.877,0.596
Michael Porter Jr.,DEN,0.576,0.397,0.836,0.652
Jalen Williams,OKC,0.576,0.427,0.814,0.565
Joel Embiid,PHI,0.557,0.388,0.883,0.333
Karl-Anthony Towns,MIN,0.55,0.416,0.873,0.515
Bogdan Bogdanović,ATL,0.503,0.374,0.921,0.61
Brandon Ingram,NOP,0.535,0.355,0.801,0.534
Alperen Sengun,HOU,0.568,0.297,0.693,0.52
